표제어,발음
감,감ː
값,갑
강,강
개,개ː
겉,걷
공,공ː
국,국
귀,귀
귤,귤
글,글
길,길
김,김ː
꽃,꼳
끝,끋
날,날
낮,낟
눈,눈
눈,눈ː
달,달
답,답
댁,댁
돈,돈ː
돌,돌ː
뒤,뒤ː
딸,딸
땅,땅
때,때
떡,떡
말,말ː
맛,맏
멋,먿
목,목
몸,몸
무,무ː
문,문
물,물
밑,믿
밖,박
반,반
발,발
밤,밤
밥,밥
방,방
배,배
벽,벽
봄,봄
비,비
빵,빵
산,산
살,살
상,상
섬,섬ː
성,성ː
속,속ː
손,손
시,시
쌀,쌀
앞,압
약,약
역,역
옆,엽
옷,옫
월,월
위,위
일,일
입,입
잔,잔
전,전
주,주
짐,짐
집,집
차,차
책,책
춤,춤
층,층
칼,칼
코,코
콩,콩
키,키
팔,팔
표,표
혀,혀
형,형
화,화ː
후,후ː
힘,힘
간,간
간,간ː
겁,겁
게,게ː
곡,곡
과,과
군,군ː
굴,굴ː
깨,깨
꿀,꿀
끼,끼
남,남
뇌,뇌/눼
담,담
돌,돌
동,동
동,동ː
뜰,뜰
띠,띠
맘,맘ː
멍,멍
몫,목
못,몯
밤,밤ː
벌,벌
법,법
벼,벼
볼,볼
북,북
빗,빋
뺨,뺨
뼈,뼈
삶,삼ː
서,서
숨,숨ː
숲,숩
신,신
실,실ː
씨,씨
알,알
암,암ː
애,애ː
양,양
욕,욕
절,절
정,정
젖,젇
죄,죄ː/줴ː
죽,죽
중,중ː
쪽,쪽
창,창
침,침
탑,탑
턱,턱
털,털
파,파
해,해ː
회,회ː/훼ː
흙,흑
갑,갑
계,계:/게:
공,공
관,관
군,군
궁,궁
균,균
기,기
깃,긷
낙,낙
넋,넉
논,논
당,당
대,대ː
덤,덤ː
도,도ː
둑,둑
등,등
란,란
면,면
면,면ː
무,무
밭,받
벗,벋ː
붓,붇
샘,샘ː
생,생
선,선ː
세,세ː
솔,솔ː
솥,솓
승,승
식,식
싹,싹
안,안ː
윤,윤ː
의,의ː
장,장ː
조,조
종,종
즙,즙
직,직
찜,찜
처,처
철,철
탈,탈ː
팥,팓
폐,폐ː/페ː
함,함ː
행,행
효,효ː
가게,가ː게
가격,가격
가구,가구
가방,가방
가수,가수
가슴,가슴
가요,가요
가위,가위
가을,가을
가족,가족
간식,간ː식
간장,간장
갈비,갈비
감사,감ː사
감자,감자
거리,거리
거리,거ː리
거실,거실
거울,거울
거절,거ː절
걱정,걱쩡
건강,건ː강
건물,건ː물
검사,검사
겨울,겨울
결석,결썩
결정,결쩡
결혼,결혼
경기,경ː기
경찰,경ː찰
경치,경치
계단,계단/게단
계란,계란/게란
계산,계ː산/게ː산
계절,계ː절/게ː절
계획,계ː획/게ː훽
고개,고개
고기,고기
고모,고모
고향,고향
공부,공부
공원,공원
공짜,공짜
공책,공책
공항,공항
과거,과ː거
과일,과ː일
과자,과자
관광,관광
관심,관심
광주,광주
교사,교ː사
교수,교ː수
교실,교ː실
교육,교ː육
교통,교통
교환,교환
교회,교ː회/교ː훼
구경,구ː경
구두,구두
구름,구름
구월,구월
국내,궁내
국수,국쑤
국제,국쩨
군인,구닌
규칙,규칙
그날,그날
그때,그때
그릇,그륻
그림,그ː림
극장,극짱
근처,근ː처
글씨,글씨
글자,글짜
기간,기간
기름,기름
기분,기분
기쁨,기쁨
기온,기온
기자,기자
기차,기차
기회,기회/기훼
긴장,긴장
김밥,김ː밥/김ː빱
김치,김치
꽃병,꼳뼝
꽃집,꼳찝
나라,나라
나이,나이
나중,나ː중
나흘,나흘
낚시,낙씨
날씨,날씨
날짜,날짜
남녀,남녀
남성,남성
남자,남자
남쪽,남쪽
남편,남편
내과,내ː꽈
내년,내년
내용,내ː용
내일,내일
냄비,냄비
