감,감ː
값,갑
강,강
개,개ː
겉,걷
공,공ː
국,국
귀,귀
귤,귤
글,글
길,길
김,김ː
꽃,꼳
끝,끋
날,날
낮,낟
눈,눈
눈,눈ː
달,달
답,답
댁,댁
돈,돈ː
돌,돌ː
뒤,뒤ː
딸,딸
땅,땅
때,때
떡,떡
말,말ː
맛,맏
멋,먿
목,목
몸,몸
무,무ː
문,문
물,물
밑,믿
밖,박
반,반
발,발
밤,밤
밥,밥
방,방
배,배
벽,벽
봄,봄
비,비
빵,빵
산,산
살,살
상,상
섬,섬ː
성,성ː
속,속ː
손,손
시,시
쌀,쌀
앞,압
약,약
역,역
옆,엽
옷,옫
월,월
위,위
일,일
입,입
잔,잔
전,전
주,주
짐,짐
집,집
차,차
책,책
춤,춤
층,층
칼,칼
코,코
콩,콩
키,키
팔,팔
표,표
혀,혀
형,형
화,화ː
후,후ː
힘,힘
간,간
간,간ː
겁,겁
게,게ː
곡,곡
과,과
군,군ː
굴,굴ː
깨,깨
꿀,꿀
끼,끼
남,남
뇌,뇌
담,담
돌,돌
동,동
동,동ː
뜰,뜰
띠,띠
맘,맘ː
멍,멍
몫,목
못,몯
밤,밤ː
벌,벌
법,법
벼,벼
볼,볼
북,북
빗,빋
뺨,뺨
뼈,뼈
삶,삼ː
서,서
숨,숨ː
숲,숩
신,신
실,실ː
씨,씨
알,알
암,암ː
애,애ː
양,양
욕,욕
절,절
정,정
젖,젇
죄,죄ː
죽,죽
중,중ː
쪽,쪽
창,창
침,침
탑,탑
턱,턱
털,털
파,파
해,해ː
회,회ː
흙,흑
갑,갑
계,계:
공,공
관,관
군,군
궁,궁
균,균
기,기
깃,긷
낙,낙
넋,넉
논,논
당,당
대,대ː
덤,덤ː
도,도ː
둑,둑
등,등
란,란
면,면
면,면ː
무,무
밭,받
벗,벋ː
붓,붇
샘,샘ː
생,생
선,선ː
세,세ː
솔,솔ː
솥,솓
승,승
식,식
싹,싹
안,안ː
윤,윤ː
의,의ː
장,장ː
조,조
종,종
즙,즙
직,직
찜,찜
처,처
철,철
탈,탈ː
팥,팓
폐,폐ː
함,함ː
행,행
효,효ː
가게,가ː게
가격,가격
가구,가구
가방,가방
가수,가수
가슴,가슴
가요,가요
가위,가위
가을,가을
가족,가족
간장,간장
갈비,갈비
감사,감ː사
감자,감자
거리,거리
거리,거ː리
거실,거실
거울,거울
거절,거ː절
건강,건ː강
검사,검사
겨울,겨울
결정,결쩡
결혼,결혼
경기,경ː기
경찰,경ː찰
경치,경치
계단,계단
계산,계ː산
계절,계ː절
계획,계ː획
고개,고개
고기,고기
고모,고모
고향,고향
공부,공부
공짜,공짜
공책,공책
공항,공항
과거,과ː거
과일,과ː일
과자,과자
관광,관광
광주,광주
교사,교ː사
교수,교ː수
교실,교ː실
교육,교ː육
교통,교통
교환,교환
교회,교ː회
구경,구ː경
구두,구두
구월,구월
규칙,규칙
그때,그때
그릇,그륻
근처,근ː처
글자,글짜
기간,기간
기분,기분
기쁨,기쁨
기온,기온
기자,기자
기차,기차
기회,기회
긴장,긴장
김밥,김ː밥
김치,김치
나이,나이
나중,나ː중
나흘,나흘
날짜,날짜
남성,남성
남자,남자
남쪽,남쪽
남편,남편
내과,내ː꽈
냄비,냄비
농구,농구
느낌,느낌
다리,다리
단어,다너
단추,단추
단풍,단풍
달걀,달걀
대답,대ː답
대학,대ː학
대회,대ː회
도로,도ː로
도시,도시
도움,도움
도착,도ː착
독일,도길
동전,동전
동쪽,동쪽
된장,된ː장
두부,두부
뒤쪽,뒤ː쪽
딸기,딸ː기
마당,마당
마중,마중
만두,만두
만화,만ː화
매달,매ː달
매주,매ː주
먼저,먼저
며칠,며칠
명절,명절
모습,모습
모자,모자
목욕,모굑
문제,문ː제
문화,문화
물건,물건
미국,미국
바깥,바깓
바다,바다
바닥,바닥
바지,바지
반대,반ː대
반지,반지
반찬,반찬
방금,방금
방학,방ː학
방향,방향
배우,배우
배추,배ː추
봉투,봉투
부부,부부
부산,부산
부엌,부억
부인,부인
부장,부장
부탁,부ː탁
분식,분식
불편,불편
비누,비누
빵집,빵찝
사고,사ː고
사과,사과
사업,사ː업
사월,사ː월
사이,사이
사장,사장
사전,사전
사진,사진
사탕,사탕
사흘,사흘
산책,산ː책
삼촌,삼촌
상추,상추
상품,상품
새벽,새벽
새해,새해
서랍,서랍
서류,서류
서울,서울
서점,서점
서쪽,서쪽
선배,선배
선택,선ː택
설탕,설탕
성격,성ː껵
성적,성적
성함,성ː함
세계,세ː계
세배,세ː배
세상,세ː상
세탁,세ː탁
소개,소개
소금,소금
소설,소ː설
소식,소식
소주,소주
소포,소ː포
소풍,소풍
속옷,소ː곧
송편,송편
수건,수ː건
수고,수ː고
수술,수술
수업,수업
수영,수영
수저,수저
수첩,수첩
술집,술찝
슬픔,슬픔
시간,시간
시계,시계
시골,시골
시내,시ː내
시월,시월
시장,시ː장
시험,시험
식구,식꾸
신발,신발
신부,신부
신호,신ː호
아까,아까
아내,아내
아들,아들
아래,아래
아빠,아빠
아침,아침
안개,안ː개
안경,안ː경
안쪽,안쪽
애인,애ː인
야구,야ː구 
야채,야ː채
양복,양복
얘기,얘ː기
어깨,어깨
어제,어제
언어,어너
얼굴,얼굴
여성,여성
여자,여자
여행,여행
연결,연결
연극,연ː극
연필,연필
연휴,연휴
열차,열차
열흘,열흘
영국,영국
영어,영어
영하,영하
영화,영화
예매,예ː매
예술,예ː술
예습,예ː습
예약,예ː약
오빠,오빠
오월,오ː월
오이,오이
오전,오ː전
온도,온도
올해,올해
외국,외ː국
왼쪽,왼ː쪽
요금,요ː금
요리,요리
요일,요일
요즘,요즘
우산,우ː산
우유,우유
우표,우표
운동,운ː동
운전,운ː전
웃음,우슴
월급,월급
위쪽,위쪽
위치,위치
위험,위험
유월,유월
유학,유학
유행,유행
음식,음ː식
음악,으막
의미,의ː미
의자,의자
이때,이때
이마,이마
이모,이모
이번,이번
이불,이불
이용,이ː용
이월,이ː월
이전,이ː전
이제,이제
이틀,이틀
이후,이ː후
일본,일본
입원,이붠
입학,이팍
자식,자식
자신,자신
자연,자연
잔치,잔치
잠깐,잠깐
잠시,잠ː시
장갑,장ː갑
장소,장소
재료,재료
재미,재미
저녁,저녁
저번,저ː번
전공,전공
전철,전ː철
전화,전ː화
점수,점쑤
점심,점ː심
조심,조ː심
조카,조카
졸업,조럽
종이,종이
주변,주변
주부,주부
주사,주ː사
주소,주ː소
주위,주위
주인,주인
주일,주일
주차,주ː차
중간,중간
중국,중국
중심,중심
지각,지각
지갑,지갑
지금,지금
지도,지도
지방,지방
지하,지하
직업,지겁
직원,지권
짜증,짜증
찌개,찌개
참외,차뫼
채소,채ː소
처음,처음
청소,청소
초대,초대
최근,최ː근
추석,추석
축하,추카
출구,출구
출근,출근
출발,출발
출입,추립
출장,출짱
취미,취ː미
취소,취ː소
취직,취ː직
치과,치꽈
치료,치료
치마,치마
치약,치약
친구,친구
친절,친절
친척,친척
칠판,칠판
침대,침ː대
침실,침ː실
칫솔,치쏠
칭찬,칭찬
태국,태국
태풍,태풍
퇴근,퇴ː근
퇴원,퇴ː원
튀김,튀김
편지,편ː지
포도,포도
포장,포장
풍경,풍경
피곤,피곤
필통,필통
하루,하루
학원,하권
한국,한ː국
한글,한ː글
한복,한ː복
한옥,하ː녹
한잔,한잔
항공,항ː공
해외,해ː외
행복,행ː복
허리,허리
현재,현ː재
형제,형제
홍차,홍차
화가,화ː가
환자,환ː자
회사,회ː사
후배,후ː배
휴가,휴가
휴일,휴일
휴지,휴지
가루,가루
가사,가사
가입,가입
가죽,가죽
가지,가지
가치,가치
간호,간호
갈등,갈뜽
갈증,갈쯩
감각,감ː각
감독,감독
감동,감ː동
감상,감상
감소,감ː소
감정,감ː정
강의,강ː의
개발,개발
개방,개방
개성,개ː성
개인,개ː인
개최,개최
거품,거품
건조,건조
건축,건ː축
검사,검ː사
검색,검ː색
겉옷,거돋
게시,게ː시
견학,견ː학
견해,견ː해
결근,결근
결제,결쩨
겸손,겸손
경기,경기
경비,경비
계곡,계곡
계약,계ː약
계좌,계ː좌
고객,고객
고국,고ː국
고궁,고ː궁
고급,고급
고독,고독
고백,고ː백
고생,고생
고속,고속
고유,고유
고장,고장
고전,고ː전
고집,고집
고추,고추
고층,고층
고통,고통
곡식,곡씩
공간,공간
공감,공ː감
공개,공개
공격,공ː격
공공,공공
공기,공기
공적,공쩍
공주,공주
공포,공ː포
공해,공해
과로,과ː로
과목,과목
과속,과ː속
과식,과ː식
과외,과외
과장,과장
과제,과제
과학,과학
관객,관객
교내,교ː내
교대,교대
교류,교류
교복,교ː복
교양,교ː양
교외,교외
교장,교ː장
교재,교ː재
교체,교체
교포,교포
교훈,교ː훈
구매,구매
구석,구석
구역,구역
구입,구입
구조,구ː조
국어,구거
국외,구괴
국회,구쾨
군대,군대
귀국,귀ː국
규정,규정
근교,근ː교
근육,그뉵
금액,그맥
기계,기계
기관,기관
기구,기구
기도,기도
기록,기록
기사,기사
기술,기술
기업,기업
기초,기초
기혼,기혼
기후,기후
긴팔,긴ː팔
길가,길까
꾸중,꾸중
낙엽,나겹
난방,난방
남부,남부
남북,남북
낭비,낭ː비
내부,내ː부
냉동,냉ː동
냉방,냉ː방
노선,노ː선
녹음,노금
녹화,노콰
논쟁,논쟁
농부,농부
눈가,눈까
눈길,눈낄
눈병,눈뼝
눈빛,눈삗
눈치,눈치
다정,다정
다짐,다짐
다행,다행
단골,단골
단지,단지
단체,단체
달빛,달삗
담당,담당
당근,당근
당황,당황
대가,대ː까
대기,대ː기
대낮,대ː낟
대로,대ː로
대리,대ː리
대변,대ː변
대사,대ː사
대사,대사
대접,대ː접
대중,대ː중
대책,대ː책
대출,대ː출
대형,대ː형
더위,더위
도구,도ː구
도둑,도둑
도마,도마
도서,도서
도심,도심
도장,도장
도전,도전
독감,독깜
